Name,Gender,Fate,imgsrc
Dezik,Male,Died 1951-07-29,./images/pawMD.png
Tsygan,Male,Survived,./images/pawMS.png
Lisa,Female,Died 1951-07-29,./images/pawFD.png
Chizhik,Male,Died 1951-08-28,./images/pawMD.png
Mishka,Male,Died 1951-08-28,./images/pawMD.png
Ryzhik,Male,Survived,./images/pawMS.png
Smeliy,Male,Survived,./images/pawMS.png
Neputeviy,Male,Survived,./images/pawMS.png
ZIB,Male,Survived,./images/pawMS.png
Lisa-2,Female,Died 1955-02-05,./images/pawFD.png
Ryzhik-2,Male,Died 1954-07-07,./images/pawMD.png
Damka,Female,Survived,./images/pawFS.png
Mishka-2,Male,Died 1954-07-02,./images/pawMD.png
Ryzhik-3,Male,Survived,./images/pawMS.png
Rita,Female,Died 1955-01-25 or 1955-06-25,./images/pawFD.png
Linda,Female,Survived,./images/pawFS.png
Bulba,Female,Died 1955-02-05,./images/pawFD.png
Knopka,Female,Died 1958-10-31,./images/pawFD.png
Malyshka,Female,Survived,./images/pawFS.png
Albina,Female,Survived,./images/pawFS.png
Kozyavka,Female,Survived,./images/pawFS.png
Damka-2,Female,Survived,./images/pawFS.png
Dzhoyna,Female,Died 1957-05-24,./images/pawFD.png
Ryzhaya,Female,Died 1957-05-24,./images/pawFD.png
Belka,Female,Survived,./images/pawFS.png
Modnitsa,Female,Survived,./images/pawFS.png
Laika,Female,Died 1957-11-03,./images/pawFD.png
Palma,Female,Died 1958-02-21,./images/pawFD.png
Pushok,Male,Died 1958-02-21,./images/pawMD.png
Kusachka,Female,Survived,./images/pawFS.png
Palma-2,Female,Survived,./images/pawFS.png
Belyanka,Female,Survived,./images/pawFS.png
Pestraya,Female,Survived,./images/pawFS.png
Zhulba,Female,Died 1958-10-31,./images/pawFD.png
Snezhinka ,Female,Survived,./images/pawFS.png
Malyok,Male,Survived,./images/pawMS.png
Lisichka,Female,Died 1960-07-28,./images/pawFD.png
Bars ,Female,Died 1960-07-28,./images/pawFD.png
Strelka,Female,Survived,./images/pawFS.png
Neva,Female,Survived,./images/pawFS.png
Mushka,Female,Died 1960-12-01,./images/pawFD.png
Pchyolka,Female,Died 1960-12-01,./images/pawFD.png
Shutka,Female,Survived,./images/pawFS.png
Chernuskha,Female,Survived,./images/pawFS.png
Kometka,Female,Survived,./images/pawFS.png
Zvezdochka,Female,Survived,./images/pawFS.png
Ugolyok,Male,Survived,./images/pawMS.png
Veterok ,Male,Survived,./images/pawMS.png
